HUD frame time nsec:,3366000

Range Index,Elapsed Time, First Event,Last Event
0,120736,27,27
1,129184,37,37
2,25056,48,48
3,3104,56,56
4,196480,64,64
5,704,72,72
6,156032,77,77
7,157856,110,110
8,4768,119,119
9,1650624,128,128
10,1088,137,137
11,736,145,145
12,704,146,146
13,8160,156,156
14,382336,171,171
15,704,179,179
16,736,181,181
17,12064,209,209
18,9536,219,219
19,1472,230,230
20,4352,238,238
21,10144,246,246
22,704,254,254
23,6592,259,259
24,5120,292,292
25,736,301,301
26,59040,310,310
27,736,319,319
28,736,327,327
29,736,328,328
30,6112,338,338
31,381408,353,353
32,704,361,361
33,704,363,363
34,7648,366,366
35,8738400,369,369
