HUD frame time nsec:,488402000

Range Index,Elapsed Time, First Event,Last Event
0,26496,1,1
1,1310912,237,237
2,112608,259,259
3,131328,279,279
4,224288,283,283
5,704,296,296
6,704,307,307
7,736,318,318
8,736,329,329
9,704,340,340
10,704,351,351
11,704,362,362
12,736,373,373
13,800,384,384
14,2016,395,395
15,6304,406,406
16,7264,417,417
17,704,428,428
18,704,439,439
19,704,450,450
20,704,461,461
21,704,472,472
22,704,483,483
23,704,494,494
24,704,505,505
25,704,516,516
26,1280,527,527
27,67456,538,538
28,16064,549,549
29,3808,560,560
30,3520,571,571
31,3200,582,582
32,2816,593,593
33,2752,604,604
34,1696,615,615
35,8896,626,626
36,10144,637,637
37,9312,648,648
38,8992,659,659
39,8128,670,670
40,6944,681,681
41,20288,692,692
42,21184,703,703
43,19424,714,714
44,17184,725,725
45,13632,736,736
46,9472,747,747
47,3456,758,758
48,4064,769,769
49,4224,780,780
50,3968,791,791
51,3136,802,802
52,2496,813,813
53,704,824,824
54,704,835,835
55,736,846,846
56,736,857,857
57,736,868,868
58,736,879,879
59,736,890,890
60,704,901,901
61,704,912,912
62,704,923,923
63,736,934,934
64,736,945,945
65,704,956,956
66,704,967,967
67,768,978,978
68,704,989,989
69,736,1000,1000
70,704,1011,1011
71,704,1022,1022
72,704,1033,1033
73,736,1044,1044
74,704,1055,1055
75,704,1066,1066
76,736,1077,1077
77,704,1088,1088
78,736,1099,1099
79,704,1110,1110
80,736,1121,1121
81,992,1132,1132
82,736,1143,1143
83,704,1154,1154
84,704,1165,1165
85,704,1176,1176
86,704,1187,1187
87,704,1198,1198
88,1664,1209,1209
89,4672,1220,1220
90,4384,1231,1231
91,4672,1242,1242
92,4576,1253,1253
93,4768,1264,1264
94,4576,1275,1275
95,4672,1286,1286
96,4768,1297,1297
97,4448,1308,1308
98,4416,1319,1319
99,4640,1330,1330
100,4608,1341,1341
101,4736,1352,1352
102,4576,1363,1363
103,4480,1374,1374
104,4544,1385,1385
105,4448,1396,1396
106,4640,1407,1407
107,4480,1418,1418
108,4992,1429,1429
109,4480,1440,1440
110,4704,1451,1451
111,4512,1462,1462
112,4736,1473,1473
113,4640,1484,1484
114,4320,1495,1495
115,4576,1506,1506
116,4384,1517,1517
117,4768,1528,1528
118,4352,1539,1539
119,4672,1550,1550
120,4864,1561,1561
121,4544,1572,1572
122,4672,1583,1583
123,4352,1594,1594
124,4800,1605,1605
125,4608,1616,1616
126,4832,1627,1627
127,4320,1638,1638
128,4640,1649,1649
129,4576,1660,1660
130,4608,1671,1671
131,4608,1682,1682
132,4480,1693,1693
133,4768,1704,1704
134,4512,1715,1715
135,4320,1726,1726
136,4672,1737,1737
137,4384,1748,1748
138,4800,1759,1759
139,4576,1770,1770
140,4640,1781,1781
141,4640,1792,1792
142,4256,1803,1803
143,4864,1814,1814
144,4672,1825,1825
145,4608,1836,1836
146,4512,1847,1847
147,4640,1858,1858
148,4672,1869,1869
149,4672,1880,1880
150,4576,1891,1891
151,4288,1902,1902
152,4608,1913,1913
153,4800,1924,1924
154,4480,1935,1935
155,4768,1946,1946
156,4544,1957,1957
157,4416,1968,1968
158,5088,1979,1979
159,4128,1990,1990
160,4608,2001,2001
161,4544,2012,2012
162,4704,2023,2023
163,4576,2034,2034
164,4512,2045,2045
165,4640,2056,2056
166,4672,2067,2067
167,4640,2078,2078
168,4576,2089,2089
169,4672,2100,2100
170,4640,2111,2111
171,4352,2122,2122
172,4704,2133,2133
173,4576,2144,2144
174,4608,2155,2155
175,4480,2166,2166
176,4416,2177,2177
177,4704,2188,2188
178,4640,2199,2199
179,4544,2210,2210
180,4704,2221,2221
181,4512,2232,2232
182,4640,2243,2243
183,4544,2254,2254
184,4832,2265,2265
185,4576,2276,2276
186,4800,2287,2287
187,4320,2298,2298
188,4608,2309,2309
189,4640,2320,2320
190,4544,2331,2331
191,4608,2342,2342
192,4736,2353,2353
193,4448,2364,2364
194,4416,2375,2375
195,4480,2386,2386
196,4544,2397,2397
197,4896,2408,2408
198,4512,2419,2419
199,4736,2430,2430
200,4576,2441,2441
201,4640,2452,2452
202,4448,2463,2463
203,4736,2474,2474
204,4384,2485,2485
205,4800,2496,2496
206,4416,2507,2507
207,4672,2518,2518
208,4512,2529,2529
209,4768,2540,2540
210,4384,2551,2551
211,4608,2562,2562
212,4576,2573,2573
213,4704,2584,2584
214,4576,2595,2595
215,4512,2606,2606
216,4704,2617,2617
217,4800,2628,2628
218,4608,2639,2639
219,4384,2650,2650
220,4672,2661,2661
221,4704,2672,2672
222,4544,2683,2683
223,4480,2694,2694
224,4608,2705,2705
225,4416,2716,2716
226,4544,2727,2727
227,4736,2738,2738
228,4384,2749,2749
229,4896,2760,2760
230,4416,2771,2771
231,4576,2782,2782
232,4576,2793,2793
233,4608,2804,2804
234,4576,2815,2815
235,4576,2826,2826
236,4576,2837,2837
237,4608,2848,2848
238,4640,2859,2859
239,4800,2870,2870
240,4128,2881,2881
241,4864,2892,2892
242,4480,2903,2903
243,4416,2914,2914
244,4576,2925,2925
245,4736,2936,2936
246,4416,2947,2947
247,4512,2958,2958
248,4832,2969,2969
249,4416,2980,2980
250,4768,2991,2991
251,4480,3002,3002
252,186496,3013,3013
253,704,3024,3024
254,704,3035,3035
255,736,3046,3046
256,736,3057,3057
257,736,3068,3068
258,704,3079,3079
259,704,3090,3090
260,736,3101,3101
261,5024,3112,3112
262,110624,3123,3123
263,113312,3134,3134
264,112256,3145,3145
265,113248,3156,3156
266,113312,3167,3167
267,112544,3178,3178
268,112640,3189,3189
269,114176,3200,3200
270,108640,3205,3205
271,9312,3240,3240
272,736,3253,3253
273,736,3266,3266
274,736,3279,3279
275,704,3292,3292
276,768,3305,3305
277,800,3318,3318
278,704,3331,3331
279,84896,3344,3344
280,86208,3357,3357
281,126400,3370,3370
282,133536,3383,3383
283,736,3396,3396
284,960,3409,3409
285,704,3422,3422
286,736,3435,3435
287,736,3448,3448
288,704,3461,3461
289,736,3474,3474
290,704,3487,3487
291,736,3500,3500
292,704,3513,3513
293,1871488,3526,3526
294,533120,3539,3539
295,704,3552,3552
296,736,3565,3565
297,736,3578,3578
298,3840,3591,3591
299,6496,3604,3604
300,7424,3617,3617
301,704,3630,3630
302,736,3643,3643
303,832,3656,3656
304,3808,3669,3669
305,5984,3682,3682
306,4832,3695,3695
307,31008,3708,3708
308,45536,3721,3721
309,47488,3734,3734
310,84480,3747,3747
311,26528,3760,3760
312,2272,3773,3773
313,704,3786,3786
314,736,3799,3799
315,736,3812,3812
316,704,3825,3825
317,704,3838,3838
318,800,3851,3851
319,704,3864,3864
320,736,3877,3877
321,736,3890,3890
322,704,3903,3903
323,736,3916,3916
324,10752,3929,3929
325,10656,3942,3942
326,76128,3955,3955
327,19360,3968,3968
328,11392,3981,3981
329,79200,3994,3994
330,736,4007,4007
331,704,4020,4020
332,800,4033,4033
333,800,4046,4046
334,800,4059,4059
335,800,4072,4072
336,736,4085,4085
337,704,4098,4098
338,800,4111,4111
339,736,4124,4124
340,800,4137,4137
341,800,4150,4150
342,736,4163,4163
343,736,4176,4176
344,800,4189,4189
345,736,4202,4202
346,768,4215,4215
347,768,4228,4228
348,736,4241,4241
349,800,4254,4254
350,736,4267,4267
351,736,4280,4280
352,704,4293,4293
353,736,4306,4306
354,768,4319,4319
355,800,4332,4332
356,768,4345,4345
357,704,4358,4358
358,704,4371,4371
359,832,4384,4384
360,704,4397,4397
361,736,4410,4410
362,800,4423,4423
363,800,4436,4436
364,704,4449,4449
365,768,4462,4462
366,704,4475,4475
367,704,4488,4488
368,800,4501,4501
369,800,4514,4514
370,704,4527,4527
371,800,4540,4540
372,768,4553,4553
373,800,4566,4566
374,736,4579,4579
375,704,4592,4592
376,768,4605,4605
377,800,4618,4618
378,800,4631,4631
379,800,4644,4644
380,736,4657,4657
381,800,4670,4670
382,736,4683,4683
383,736,4696,4696
384,736,4709,4709
385,800,4722,4722
386,704,4735,4735
387,736,4748,4748
388,800,4761,4761
389,800,4774,4774
390,768,4787,4787
391,736,4800,4800
392,800,4813,4813
393,736,4826,4826
394,832,4839,4839
395,800,4852,4852
396,768,4865,4865
397,736,4878,4878
398,704,4891,4891
399,736,4904,4904
400,768,4917,4917
401,736,4930,4930
402,704,4943,4943
403,736,4956,4956
404,800,4969,4969
405,800,4982,4982
406,704,4995,4995
407,736,5008,5008
408,704,5021,5021
409,800,5034,5034
410,704,5047,5047
411,800,5060,5060
412,768,5073,5073
413,736,5086,5086
414,800,5099,5099
415,704,5112,5112
416,704,5125,5125
417,960,5138,5138
418,736,5151,5151
419,736,5164,5164
420,704,5177,5177
421,832,5190,5190
422,800,5203,5203
423,704,5216,5216
424,800,5229,5229
425,736,5242,5242
426,704,5255,5255
427,736,5268,5268
428,736,5281,5281
429,800,5294,5294
430,768,5307,5307
431,704,5320,5320
432,800,5333,5333
433,832,5346,5346
434,704,5359,5359
435,736,5372,5372
436,736,5385,5385
437,768,5398,5398
438,800,5411,5411
439,768,5424,5424
440,800,5437,5437
441,800,5450,5450
442,736,5463,5463
443,800,5476,5476
444,736,5489,5489
445,768,5502,5502
446,768,5515,5515
447,768,5528,5528
448,704,5541,5541
449,800,5554,5554
450,736,5567,5567
451,736,5580,5580
452,800,5593,5593
453,768,5606,5606
454,736,5619,5619
455,736,5632,5632
456,800,5645,5645
457,704,5658,5658
458,800,5671,5671
459,832,5684,5684
460,800,5697,5697
461,704,5710,5710
462,736,5723,5723
463,736,5736,5736
464,768,5749,5749
465,704,5762,5762
466,768,5775,5775
467,736,5788,5788
468,736,5801,5801
469,800,5814,5814
470,736,5827,5827
471,800,5840,5840
472,800,5853,5853
473,736,5866,5866
474,800,5879,5879
475,704,5892,5892
476,736,5905,5905
477,736,5918,5918
478,736,5931,5931
479,704,5944,5944
480,704,5957,5957
481,704,5970,5970
482,736,5983,5983
483,704,5996,5996
484,704,6009,6009
485,736,6022,6022
486,736,6035,6035
487,736,6048,6048
488,704,6061,6061
489,736,6074,6074
490,704,6087,6087
491,704,6100,6100
492,736,6113,6113
493,704,6126,6126
