HUD frame time nsec:,16752000

Range Index,Elapsed Time, First Event,Last Event
0,18176,43,43
1,162496,52,52
2,24896,63,63
3,2976,72,72
4,864,81,81
5,704,90,90
6,152736,99,99
7,704,108,108
8,103712,113,113
9,180096,144,144
10,6368,155,155
11,11968,166,166
12,13376,177,177
13,1416736,188,188
14,1440,199,199
15,704,207,207
16,704,208,208
17,6368,218,218
18,4512,222,222
19,345312,237,237
20,1280,245,245
21,832,247,247
22,992,253,253
23,1824,257,257
24,108160,272,272
25,66464,275,275
26,17024,319,319
27,152096,328,328
28,25856,339,339
29,3168,348,348
30,832,357,357
31,768,366,366
32,153792,375,375
33,704,384,384
34,69152,389,389
35,158592,420,420
36,2880,431,431
37,9056,442,442
38,12032,453,453
39,1324288,464,464
40,896,475,475
41,704,483,483
42,704,484,484
43,6272,494,494
44,5248,498,498
45,346912,513,513
46,832,521,521
47,768,523,523
48,1248,529,529
49,1216,533,533
50,104960,548,548
51,66688,551,551
52,16928,595,595
53,152608,604,604
54,24960,615,615
55,3328,624,624
56,768,633,633
57,736,642,642
58,153024,651,651
59,704,660,660
60,69664,665,665
61,139168,696,696
62,3328,707,707
63,5856,718,718
64,8960,729,729
65,1190784,740,740
66,1024,751,751
67,736,759,759
68,704,760,760
69,6304,770,770
70,3744,774,774
71,342496,789,789
72,832,797,797
73,800,799,799
74,1056,805,805
75,1152,809,809
76,105568,824,824
77,67168,827,827
78,16960,871,871
79,151840,880,880
80,25664,891,891
81,3168,900,900
82,928,909,909
83,704,918,918
84,152704,927,927
85,800,936,936
86,69088,941,941
87,120544,972,972
88,1984,983,983
89,5536,994,994
90,7360,1005,1005
91,1064800,1016,1016
92,1344,1027,1027
93,704,1035,1035
94,704,1036,1036
95,6048,1046,1046
96,4480,1050,1050
97,334976,1065,1065
98,832,1073,1073
99,800,1075,1075
100,800,1081,1081
101,1888,1085,1085
102,105056,1100,1100
103,67424,1103,1103
104,1898944,1105,1105
