HUD frame time nsec:,252213000

Range Index,Elapsed Time, First Event,Last Event
0,107680,34,34
1,135104,48,48
2,145952,57,57
3,124992,70,70
4,704,81,81
5,736,92,92
6,736,103,103
7,704,114,114
8,704,125,125
9,768,136,136
10,736,147,147
11,704,158,158
12,704,169,169
13,736,180,180
14,704,191,191
15,704,202,202
16,768,213,213
17,704,224,224
18,736,235,235
19,768,246,246
20,704,257,257
21,736,268,268
22,704,279,279
23,736,290,290
24,3584,301,301
25,4224,312,312
26,4192,323,323
27,4032,334,334
28,4352,345,345
29,4160,356,356
30,4096,367,367
31,4096,378,378
32,4160,389,389
33,4352,400,400
34,4064,411,411
35,4224,422,422
36,4256,433,433
37,4160,444,444
38,4352,455,455
39,4032,466,466
40,4096,477,477
41,4224,488,488
42,4288,499,499
43,4192,510,510
44,4192,521,521
45,4160,532,532
46,4352,543,543
47,4224,554,554
48,4160,565,565
49,4224,576,576
50,4128,587,587
51,4320,598,598
52,4128,609,609
53,4160,620,620
54,4384,631,631
55,4096,642,642
56,4352,653,653
57,4096,664,664
58,4160,675,675
59,4352,686,686
60,4064,697,697
61,4320,708,708
62,4000,719,719
63,4224,730,730
64,4096,741,741
65,4320,752,752
66,4096,763,763
67,4160,774,774
68,4032,785,785
69,4288,796,796
70,4384,807,807
71,4096,818,818
72,4160,829,829
73,4000,840,840
74,4096,851,851
75,4224,862,862
76,4320,873,873
77,4096,884,884
78,4320,895,895
79,4064,906,906
80,4224,917,917
81,4064,928,928
82,4320,939,939
83,4224,950,950
84,4224,961,961
85,4064,972,972
86,4128,983,983
87,4256,994,994
88,4224,1005,1005
89,4128,1016,1016
90,4160,1027,1027
91,4256,1038,1038
92,4192,1049,1049
93,4320,1060,1060
94,4096,1071,1071
95,4256,1082,1082
96,4192,1093,1093
97,4128,1104,1104
98,4160,1115,1115
99,4128,1126,1126
100,4192,1137,1137
101,4192,1148,1148
102,4096,1159,1159
103,4192,1170,1170
104,4256,1181,1181
105,4160,1192,1192
106,4288,1203,1203
107,4160,1214,1214
108,4160,1225,1225
109,4224,1236,1236
110,4096,1247,1247
111,4288,1258,1258
112,4160,1269,1269
113,4352,1280,1280
114,4128,1291,1291
115,4096,1302,1302
116,4288,1313,1313
117,4160,1324,1324
118,4256,1335,1335
119,4256,1346,1346
120,4256,1357,1357
121,4192,1368,1368
122,4192,1379,1379
123,4192,1390,1390
124,3808,1401,1401
125,4256,1412,1412
126,4128,1423,1423
127,4256,1434,1434
128,4288,1445,1445
129,4128,1456,1456
130,4128,1467,1467
131,4192,1478,1478
132,4000,1489,1489
133,4224,1500,1500
134,4256,1511,1511
135,4128,1522,1522
136,4320,1533,1533
137,4256,1544,1544
138,4128,1555,1555
139,4160,1566,1566
140,4128,1577,1577
141,4192,1588,1588
142,4128,1599,1599
143,4256,1610,1610
144,4128,1621,1621
145,4192,1632,1632
146,4128,1643,1643
147,4384,1654,1654
148,4160,1665,1665
149,4256,1676,1676
150,4128,1687,1687
151,4320,1698,1698
152,4064,1709,1709
153,4160,1720,1720
154,4160,1731,1731
155,4224,1742,1742
156,4384,1753,1753
157,4032,1764,1764
158,4352,1775,1775
159,4096,1786,1786
160,4256,1797,1797
161,4064,1808,1808
162,4192,1819,1819
163,4224,1830,1830
164,4128,1841,1841
165,4160,1852,1852
166,4416,1863,1863
167,4096,1874,1874
168,4064,1885,1885
169,4224,1896,1896
170,4288,1907,1907
171,4128,1918,1918
172,4256,1929,1929
173,4256,1940,1940
174,4288,1951,1951
175,4064,1962,1962
176,4192,1973,1973
177,4224,1984,1984
178,4288,1995,1995
179,4320,2006,2006
180,3968,2017,2017
181,4416,2028,2028
182,4096,2039,2039
183,3840,2050,2050
184,4256,2061,2061
185,4064,2072,2072
186,4896,2083,2083
187,12672,2094,2094
188,152128,2099,2099
189,3082496,2134,2134
190,3584,2147,2147
191,768,2160,2160
192,768,2173,2173
193,736,2186,2186
194,768,2199,2199
195,768,2212,2212
196,768,2225,2225
197,672,2238,2238
198,800,2251,2251
199,768,2264,2264
200,736,2277,2277
201,672,2290,2290
202,736,2303,2303
203,704,2316,2316
204,768,2329,2329
205,768,2342,2342
206,800,2355,2355
207,992,2368,2368
208,736,2381,2381
209,704,2394,2394
210,736,2407,2407
211,800,2420,2420
212,736,2433,2433
213,800,2446,2446
214,800,2459,2459
215,768,2472,2472
216,704,2485,2485
217,800,2498,2498
218,704,2511,2511
219,800,2524,2524
220,704,2537,2537
221,768,2550,2550
222,768,2563,2563
223,704,2576,2576
224,736,2589,2589
225,800,2602,2602
226,768,2615,2615
227,768,2628,2628
228,736,2641,2641
229,736,2654,2654
230,768,2667,2667
231,672,2680,2680
232,800,2693,2693
233,672,2706,2706
234,768,2719,2719
235,704,2732,2732
236,768,2745,2745
237,768,2758,2758
238,768,2771,2771
239,704,2784,2784
240,736,2797,2797
241,768,2810,2810
242,736,2823,2823
243,768,2836,2836
244,736,2849,2849
245,704,2862,2862
246,768,2875,2875
247,800,2888,2888
248,768,2901,2901
249,768,2914,2914
250,800,2927,2927
251,768,2940,2940
252,704,2953,2953
253,768,2966,2966
254,736,2979,2979
255,800,2992,2992
256,768,3005,3005
257,768,3018,3018
258,672,3031,3031
259,768,3044,3044
260,768,3057,3057
261,704,3070,3070
262,768,3083,3083
263,768,3096,3096
264,768,3109,3109
265,768,3122,3122
266,768,3135,3135
267,768,3148,3148
268,800,3161,3161
269,768,3174,3174
270,800,3187,3187
271,768,3200,3200
272,704,3213,3213
273,768,3226,3226
274,768,3239,3239
275,768,3252,3252
276,768,3265,3265
277,704,3278,3278
278,800,3291,3291
279,704,3304,3304
280,768,3317,3317
281,704,3330,3330
282,736,3343,3343
283,768,3356,3356
284,704,3369,3369
285,768,3382,3382
286,800,3395,3395
287,768,3408,3408
288,800,3421,3421
289,768,3434,3434
290,736,3447,3447
291,768,3460,3460
292,768,3473,3473
293,768,3486,3486
294,768,3499,3499
295,736,3512,3512
296,736,3525,3525
297,736,3538,3538
298,768,3551,3551
299,768,3564,3564
300,768,3577,3577
301,704,3590,3590
302,768,3603,3603
303,768,3616,3616
304,768,3629,3629
305,800,3642,3642
306,800,3655,3655
307,800,3668,3668
308,864,3681,3681
309,768,3694,3694
310,768,3707,3707
311,768,3720,3720
312,800,3733,3733
313,704,3746,3746
314,736,3759,3759
315,768,3772,3772
316,736,3785,3785
317,768,3798,3798
318,736,3811,3811
319,768,3824,3824
320,768,3837,3837
321,704,3850,3850
322,768,3863,3863
323,736,3876,3876
324,832,3889,3889
325,704,3902,3902
326,704,3915,3915
327,704,3928,3928
328,736,3941,3941
329,736,3954,3954
330,704,3967,3967
331,704,3980,3980
332,704,3993,3993
333,704,4006,4006
334,672,4019,4019
335,736,4032,4032
336,704,4045,4045
337,736,4058,4058
338,736,4071,4071
339,704,4084,4084
340,736,4097,4097
341,704,4110,4110
342,704,4123,4123
343,704,4136,4136
344,704,4149,4149
345,704,4162,4162
346,736,4175,4175
347,704,4188,4188
348,736,4201,4201
349,704,4214,4214
350,704,4227,4227
351,704,4240,4240
352,704,4253,4253
353,736,4266,4266
354,704,4279,4279
355,736,4292,4292
356,704,4305,4305
357,736,4318,4318
358,704,4331,4331
359,704,4344,4344
360,736,4357,4357
361,736,4370,4370
362,704,4383,4383
363,736,4396,4396
364,704,4409,4409
365,736,4422,4422
366,704,4435,4435
367,704,4448,4448
368,736,4461,4461
369,704,4474,4474
370,704,4487,4487
371,704,4500,4500
372,704,4513,4513
373,704,4526,4526
374,52320,4535,4535
375,768,4552,4552
376,768,4565,4565
377,768,4578,4578
378,768,4591,4591
379,768,4604,4604
380,768,4617,4617
381,800,4630,4630
382,800,4643,4643
383,736,4656,4656
384,736,4669,4669
385,1024,4682,4682
386,768,4695,4695
387,800,4708,4708
388,704,4721,4721
389,768,4734,4734
390,768,4747,4747
391,800,4760,4760
392,704,4773,4773
393,768,4786,4786
394,704,4799,4799
395,768,4812,4812
396,704,4825,4825
397,768,4838,4838
398,704,4851,4851
399,704,4864,4864
400,736,4877,4877
401,768,4890,4890
402,736,4903,4903
403,736,4916,4916
404,768,4929,4929
405,768,4942,4942
406,768,4955,4955
407,800,4968,4968
408,768,4981,4981
409,896,4994,4994
410,736,5007,5007
411,736,5020,5020
412,704,5033,5033
413,768,5046,5046
414,672,5059,5059
415,800,5072,5072
416,704,5085,5085
417,768,5098,5098
418,832,5111,5111
419,704,5124,5124
420,704,5137,5137
421,768,5150,5150
422,768,5163,5163
423,768,5176,5176
424,800,5189,5189
425,768,5202,5202
426,704,5215,5215
427,800,5228,5228
428,800,5241,5241
429,704,5254,5254
430,704,5267,5267
431,768,5280,5280
432,704,5293,5293
433,768,5306,5306
434,704,5319,5319
435,704,5332,5332
436,768,5345,5345
437,704,5358,5358
438,704,5371,5371
439,704,5384,5384
440,800,5397,5397
441,800,5410,5410
442,768,5423,5423
443,800,5436,5436
444,704,5449,5449
445,768,5462,5462
446,768,5475,5475
447,736,5488,5488
448,736,5501,5501
449,768,5514,5514
450,736,5527,5527
451,800,5540,5540
452,672,5553,5553
453,736,5566,5566
454,736,5579,5579
455,768,5592,5592
456,704,5605,5605
457,736,5618,5618
458,768,5631,5631
459,800,5644,5644
460,800,5657,5657
461,768,5670,5670
462,768,5683,5683
463,768,5696,5696
464,768,5709,5709
465,768,5722,5722
466,704,5735,5735
467,768,5748,5748
468,704,5761,5761
469,704,5774,5774
470,704,5787,5787
471,768,5800,5800
472,704,5813,5813
473,768,5826,5826
474,736,5839,5839
475,800,5852,5852
476,736,5865,5865
477,704,5878,5878
478,672,5891,5891
479,768,5904,5904
480,768,5917,5917
481,960,5930,5930
482,800,5943,5943
483,768,5956,5956
484,672,5969,5969
485,704,5982,5982
486,704,5995,5995
487,704,6008,6008
488,672,6021,6021
489,736,6034,6034
490,672,6047,6047
491,704,6060,6060
492,704,6073,6073
493,736,6086,6086
494,704,6099,6099
495,704,6112,6112
496,704,6125,6125
497,704,6138,6138
498,704,6151,6151
499,704,6164,6164
500,704,6177,6177
501,704,6190,6190
502,704,6203,6203
503,704,6216,6216
504,704,6229,6229
505,736,6242,6242
506,704,6255,6255
507,704,6268,6268
508,672,6281,6281
509,736,6294,6294
510,672,6307,6307
511,704,6320,6320
512,1056,6333,6333
513,704,6346,6346
514,704,6359,6359
515,704,6372,6372
516,704,6385,6385
517,704,6398,6398
518,704,6411,6411
519,736,6424,6424
520,704,6437,6437
521,704,6450,6450
522,704,6463,6463
523,704,6476,6476
524,672,6489,6489
525,704,6502,6502
526,736,6515,6515
527,704,6528,6528
528,704,6541,6541
529,736,6554,6554
530,704,6567,6567
531,704,6580,6580
532,704,6593,6593
533,704,6606,6606
534,704,6619,6619
535,704,6632,6632
536,704,6645,6645
537,704,6658,6658
538,704,6671,6671
539,704,6684,6684
540,736,6697,6697
541,736,6710,6710
542,704,6723,6723
543,704,6736,6736
544,704,6749,6749
545,736,6762,6762
546,704,6775,6775
547,704,6788,6788
548,704,6801,6801
549,704,6814,6814
550,704,6827,6827
551,704,6840,6840
552,704,6853,6853
553,704,6866,6866
554,704,6879,6879
555,704,6892,6892
556,704,6905,6905
557,4384,6925,6925
558,672,6926,6926
559,9088,6934,6934
560,71232,6952,6952
561,672,6960,6960
562,736,6962,6962
563,672,6966,6966
564,62016,6984,6984
565,67648,6987,6987
566,2090144,6989,6989
