HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,18400,19,19
1,156992,28,28
2,24864,39,39
3,153888,48,48
4,672,57,57
5,104256,62,62
6,182752,93,93
7,1445152,104,104
8,1728,115,115
9,704,123,123
10,704,124,124
11,5120,133,133
12,5184,137,137
13,344416,152,152
14,1280,160,160
15,832,162,162
16,1088,168,168
17,832,172,172
18,108992,187,187
19,67168,190,190
20,10091648,192,192

Range Index,Elapsed Time, First Event,Last Event
0,18496,19,19
1,154400,28,28
2,26208,39,39
3,151200,48,48
4,704,57,57
5,104032,62,62
6,182592,93,93
7,1451392,104,104
8,1504,115,115
9,704,123,123
10,704,124,124
11,5152,133,133
12,5376,137,137
13,347552,152,152
14,1184,160,160
15,832,162,162
16,832,168,168
17,768,172,172
18,106240,187,187
19,65792,190,190
20,9642624,192,192

Range Index,Elapsed Time, First Event,Last Event
0,18496,19,19
1,154880,28,28
2,5568,39,39
3,150656,48,48
4,704,57,57
5,104992,62,62
6,22304,93,93
7,1400992,104,104
8,768,115,115
9,736,123,123
10,704,124,124
11,5120,133,133
12,5280,137,137
13,322816,152,152
14,1280,160,160
15,832,162,162
16,1344,168,168
17,832,172,172
18,104192,187,187
19,66784,190,190
20,10330176,192,192
