HUD frame time nsec:,495738000

Range Index,Elapsed Time, First Event,Last Event
312,800,3649,3649
313,736,3662,3662
314,800,3675,3675
315,736,3688,3688
316,704,3701,3701
317,800,3714,3714
318,768,3727,3727
319,736,3740,3740
320,704,3753,3753
321,800,3766,3766
322,800,3779,3779
323,704,3792,3792
324,736,3805,3805
325,800,3818,3818
326,736,3831,3831
327,800,3844,3844
328,800,3857,3857
329,800,3870,3870
330,736,3883,3883
331,736,3896,3896
332,800,3909,3909
333,800,3922,3922
334,736,3935,3935
335,800,3948,3948
336,736,3961,3961
337,768,3974,3974
338,800,3987,3987
339,800,4000,4000
340,704,4013,4013
341,768,4026,4026
342,736,4039,4039
343,736,4052,4052
344,704,4065,4065
345,736,4078,4078
346,800,4091,4091
347,800,4104,4104
348,736,4117,4117
349,800,4130,4130
350,832,4143,4143
351,800,4156,4156
352,768,4169,4169
353,736,4182,4182
354,704,4195,4195
355,768,4208,4208
356,704,4221,4221
357,736,4234,4234
358,704,4247,4247
359,736,4260,4260
360,736,4273,4273
361,704,4286,4286
362,736,4299,4299
363,704,4312,4312
364,736,4325,4325
365,736,4338,4338
366,704,4351,4351
367,736,4364,4364
368,704,4377,4377
369,704,4390,4390
370,736,4403,4403
371,704,4416,4416
372,736,4429,4429
373,736,4442,4442
374,704,4455,4455
375,704,4468,4468
376,736,4481,4481
377,736,4494,4494
378,736,4507,4507
379,704,4520,4520
380,704,4533,4533
381,736,4546,4546
382,736,4559,4559
383,704,4572,4572
384,704,4585,4585
385,736,4598,4598
386,704,4611,4611
387,704,4624,4624
388,736,4637,4637
389,736,4650,4650
390,736,4663,4663
391,736,4676,4676
392,736,4689,4689
393,704,4702,4702
394,736,4715,4715
395,896,4728,4728
396,704,4741,4741
397,736,4754,4754
398,704,4767,4767
399,736,4780,4780
400,736,4793,4793
401,736,4806,4806
402,29152,4819,4819
403,896,4832,4832
404,736,4845,4845
405,800,4858,4858
406,768,4871,4871
407,768,4884,4884
408,800,4897,4897
409,704,4910,4910
410,768,4923,4923
411,704,4936,4936
412,768,4949,4949
413,704,4962,4962
414,960,4975,4975
415,704,4988,4988
416,800,5001,5001
417,768,5014,5014
418,704,5027,5027
419,736,5040,5040
420,704,5053,5053
421,736,5066,5066
422,768,5079,5079
423,800,5092,5092
424,704,5105,5105
425,736,5118,5118
426,704,5131,5131
427,736,5144,5144
428,768,5157,5157
429,736,5170,5170
430,736,5183,5183
431,704,5196,5196
432,768,5209,5209
433,704,5222,5222
434,800,5235,5235
435,736,5248,5248
436,704,5261,5261
437,768,5274,5274
438,768,5287,5287
439,704,5300,5300
440,704,5313,5313
441,704,5326,5326
442,704,5339,5339
443,704,5352,5352
444,704,5365,5365
445,704,5378,5378
446,672,5391,5391
447,864,5404,5404
448,704,5417,5417
449,736,5430,5430
450,704,5443,5443
451,704,5456,5456
452,704,5469,5469
453,704,5482,5482
454,704,5495,5495
455,736,5508,5508
456,704,5521,5521
457,800,5534,5534
458,736,5547,5547
459,704,5560,5560
460,704,5573,5573
461,736,5586,5586
462,704,5599,5599
463,704,5612,5612
464,704,5625,5625
465,704,5638,5638
466,992,5651,5651
467,704,5664,5664
468,704,5677,5677
469,736,5690,5690
470,672,5703,5703
471,704,5716,5716
472,704,5729,5729
473,704,5742,5742
474,704,5755,5755
475,704,5768,5768
476,736,5781,5781
477,704,5794,5794
478,704,5807,5807
479,704,5820,5820
480,704,5833,5833
481,704,5846,5846
482,704,5859,5859
483,704,5872,5872
484,736,5885,5885
485,704,5898,5898
486,704,5911,5911
487,434432,5924,5924
488,5184,5937,5937
489,2240,5950,5950
490,13824,5963,5963
491,704,5976,5976
492,736,5989,5989
493,672,6002,6002
494,704,6015,6015
495,18976,6028,6028
496,736,6036,6036
497,704,6037,6037
498,4544,6046,6046
499,563712,6064,6064
500,704,6070,6070
501,45312,6095,6095
502,800,6101,6101
503,105600,6119,6119
504,896,6133,6133
505,6080,6135,6135
506,69408,6138,6138
507,1091200,6140,6140
